,PH_SEQ,In Labor Force?,Unempoyment Status,Received UIB,UIB Amount,Duration of unemployment,Moving Status,Race,Sex,Year,GTCBSA
5287,3262.0,4.0,2.0,1.0,11200.0,12.0,0.0,1.0,2.0,2021.0,0.0
5430,3353.0,3.0,2.0,1.0,8400.0,46.0,0.0,1.0,1.0,2021.0,0.0
5487,2627.0,3.0,2.0,1.0,12562.0,39.0,0.0,1.0,2.0,2021.0,15540.0
5492,2630.0,3.0,2.0,1.0,15120.0,52.0,0.0,1.0,1.0,2021.0,15540.0
5493,2631.0,3.0,2.0,2.0,0.0,17.0,2.0,1.0,1.0,2021.0,15540.0
5557,2665.0,3.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,2021.0,15540.0
5562,2669.0,4.0,2.0,2.0,0.0,5.0,0.0,1.0,2.0,2021.0,15540.0
5680,2726.0,3.0,2.0,2.0,0.0,9.0,0.0,1.0,2.0,2021.0,15540.0
5811,2791.0,3.0,2.0,1.0,9000.0,26.0,5.0,1.0,2.0,2021.0,15540.0
5855,2812.0,3.0,2.0,2.0,0.0,39.0,2.0,1.0,2.0,2021.0,15540.0
5879,2829.0,3.0,2.0,2.0,0.0,30.0,0.0,1.0,1.0,2021.0,15540.0
5938,2872.0,3.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,2021.0,15540.0
6173,2988.0,3.0,2.0,1.0,7500.0,30.0,0.0,1.0,1.0,2021.0,15540.0
6253,3021.0,3.0,2.0,1.0,19000.0,41.0,0.0,1.0,2.0,2021.0,15540.0
6255,3023.0,4.0,2.0,1.0,4500.0,39.0,0.0,1.0,1.0,2021.0,15540.0
6270,4546.0,4.0,2.0,2.0,0.0,11.0,0.0,1.0,1.0,2021.0,0.0
6277,4549.0,3.0,2.0,1.0,14400.0,52.0,0.0,1.0,1.0,2021.0,0.0
6343,4588.0,3.0,2.0,1.0,31500.0,52.0,5.0,1.0,2.0,2021.0,0.0
6349,4594.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,1.0,2021.0,0.0
6497,3446.0,4.0,2.0,1.0,5110.0,10.0,0.0,1.0,1.0,2021.0,12700.0
6567,3479.0,3.0,2.0,1.0,5500.0,2.0,0.0,1.0,2.0,2021.0,14460.0
6570,3480.0,3.0,2.0,1.0,1500.0,12.0,0.0,1.0,1.0,2021.0,14460.0
6585,3487.0,3.0,2.0,2.0,0.0,60.0,0.0,2.0,2.0,2021.0,14460.0
6613,3501.0,3.0,2.0,1.0,26000.0,35.0,0.0,4.0,1.0,2021.0,14460.0
6641,3515.0,3.0,2.0,2.0,0.0,52.0,0.0,1.0,2.0,2021.0,14460.0
6684,3535.0,3.0,2.0,2.0,0.0,39.0,0.0,1.0,1.0,2021.0,14460.0
6704,3542.0,3.0,2.0,1.0,1.0,16.0,0.0,1.0,1.0,2021.0,14460.0
6722,3553.0,3.0,2.0,2.0,0.0,60.0,0.0,2.0,2.0,2021.0,14460.0
6729,3556.0,4.0,2.0,1.0,9075.0,22.0,0.0,1.0,2.0,2021.0,14460.0
6751,3565.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2021.0,14460.0
6768,3570.0,3.0,2.0,1.0,1500.0,12.0,0.0,1.0,1.0,2021.0,14460.0
6774,3572.0,4.0,2.0,1.0,36400.0,52.0,0.0,1.0,1.0,2021.0,14460.0
6794,3589.0,4.0,2.0,1.0,11100.0,48.0,0.0,2.0,2.0,2021.0,14460.0
6828,3607.0,3.0,2.0,2.0,0.0,99.0,0.0,1.0,2.0,2021.0,14460.0
6829,3608.0,3.0,2.0,1.0,24000.0,52.0,0.0,2.0,2.0,2021.0,14460.0
7103,3733.0,4.0,2.0,2.0,0.0,16.0,0.0,1.0,1.0,2021.0,14460.0
7144,3749.0,4.0,2.0,1.0,23400.0,52.0,0.0,1.0,1.0,2021.0,14460.0
7187,3769.0,3.0,2.0,2.0,0.0,12.0,0.0,1.0,2.0,2021.0,14460.0
7375,3854.0,4.0,2.0,1.0,25800.0,52.0,0.0,1.0,1.0,2021.0,14460.0
7408,3867.0,4.0,2.0,1.0,16000.0,52.0,0.0,1.0,1.0,2021.0,14460.0
7410,3868.0,3.0,2.0,1.0,12122.0,26.0,0.0,1.0,1.0,2021.0,14460.0
7454,3883.0,3.0,2.0,2.0,0.0,10.0,20.0,8.0,1.0,2021.0,14460.0
7477,3896.0,4.0,2.0,1.0,5000.0,5.0,0.0,1.0,2.0,2021.0,14460.0
7581,3957.0,3.0,2.0,2.0,0.0,9.0,0.0,1.0,1.0,2021.0,14460.0
7639,3981.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,2021.0,14460.0
7702,4003.0,3.0,2.0,2.0,0.0,16.0,0.0,1.0,2.0,2021.0,14460.0
7703,4004.0,3.0,2.0,2.0,0.0,4.0,20.0,2.0,2.0,2021.0,14460.0
7889,4077.0,4.0,2.0,1.0,17468.0,52.0,0.0,1.0,2.0,2021.0,14460.0
7927,4092.0,4.0,2.0,1.0,24000.0,20.0,0.0,1.0,1.0,2021.0,14460.0
7954,4104.0,3.0,2.0,1.0,25800.0,52.0,0.0,4.0,1.0,2021.0,14460.0
8019,4128.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2021.0,14460.0
8088,4163.0,3.0,2.0,2.0,0.0,52.0,0.0,1.0,2.0,2021.0,14460.0
8131,4186.0,4.0,2.0,1.0,14826.0,34.0,0.0,2.0,1.0,2021.0,14460.0
8161,4195.0,4.0,2.0,1.0,12600.0,52.0,0.0,2.0,1.0,2021.0,14460.0
8180,4202.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2021.0,14460.0
8195,4207.0,3.0,2.0,1.0,3040.0,1.0,16.0,2.0,2.0,2021.0,14460.0
8283,4244.0,4.0,2.0,2.0,0.0,4.0,0.0,1.0,1.0,2021.0,14460.0
8290,4247.0,4.0,2.0,1.0,16200.0,3.0,0.0,1.0,1.0,2021.0,14460.0
8378,4295.0,3.0,2.0,2.0,0.0,65.0,0.0,1.0,1.0,2021.0,14460.0
8499,4357.0,3.0,2.0,1.0,1200.0,1.0,0.0,4.0,1.0,2021.0,14460.0
8557,4390.0,3.0,2.0,1.0,13000.0,17.0,0.0,2.0,1.0,2021.0,14460.0
8595,4414.0,3.0,2.0,1.0,17000.0,47.0,0.0,2.0,2.0,2021.0,14460.0
8600,4419.0,4.0,2.0,2.0,0.0,5.0,0.0,6.0,2.0,2021.0,14460.0
8623,4430.0,3.0,2.0,2.0,0.0,16.0,0.0,1.0,1.0,2021.0,14460.0
8634,4436.0,3.0,2.0,2.0,0.0,12.0,0.0,1.0,2.0,2021.0,14460.0
8662,4448.0,4.0,2.0,1.0,11975.0,3.0,0.0,2.0,2.0,2021.0,14460.0
